metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
logicinsight.pe.cluster_data_resiliency,gauge,15,byte,,Indicates the current level of data resiliency across the cluster,1,logicinsight_nutanix_core,cluster data resiliency,,
logicinsight.pe.cluster_lockdown,gauge,15,check,,Shows whether the cluster is currently in lockdown mode restricting administrative access.,0,logicinsight_nutanix_core,cluster lockdown mode,,
logicinsight.pe.cluster_num_hosts,gauge,15,,,Number of physical hosts actively participating in the cluster.,1,logicinsight_nutanix_core,cluster number of hosts,,
logicinsight.pe.cluster_rf,gauge,15,,,Replication factor set for the cluster defining how many copies of data are stored.,1,logicinsight_nutanix_core,cluster resiliency factor,,
logicinsight.pe.cluster_global_status_critical,gauge,15,,,Number of active critical alerts affecting the overall cluster health.,-1,logicinsight_nutanix_core,cluster global status critical,,
logicinsight.pe.cluster_global_status_warning,gauge,15,,,Number of active warning-level alerts related to the cluster's global status.,-1,logicinsight_nutanix_core,cluster global status warning,,
logicinsight.pe.cluster_stats_avg_io_latency_usecs,gauge,15,microsecond,,Average I/O latency across all operations in the cluster measured in microseconds.,-1,logicinsight_nutanix_core,cluster stats avg io latency usecs,,
logicinsight.pe.cluster_stats_avg_read_io_latency_usecs,gauge,15,microsecond,,Average latency for read I/O operations across the cluster measured in microseconds.,-1,logicinsight_nutanix_core,cluster stats avg read io latency usecs,,
logicinsight.pe.cluster_stats_avg_write_io_latency_usecs,gauge,15,microsecond,,Average latency for write I/O operations across the cluster measured in microseconds.,-1,logicinsight_nutanix_core,cluster stats avg write io latency usecs,,
logicinsight.pe.cluster_stats_content_cache_hit_ppm,gauge,15,percent,,Percentage of hits in the content cache subsystem representing how often data is served from cache.,1,logicinsight_nutanix_core,cluster stats content cache hit,,
logicinsight.pe.cluster_stats_content_cache_logical_memory_usage_bytes,gauge,15,byte,,Logical memory consumed by the content cache measured in bytes.,1,logicinsight_nutanix_core,cluster stats content cache logical memory usage bytes,,
logicinsight.pe.cluster_stats_content_cache_logical_ssd_usage_bytes,gauge,15,byte,,Logical SSD space used by the content cache measured in bytes.,1,logicinsight_nutanix_core,cluster stats content cache logical ssd usage bytes,,
logicinsight.pe.cluster_stats_content_cache_num_dedup_ref_count_pph,gauge,15,page,,Number of deduplicated references per hundred pages in the content cache.,1,logicinsight_nutanix_core,cluster stats content cache num dedup ref count page,,
logicinsight.pe.cluster_stats_content_cache_num_hits,gauge,15,hit ,,Total number of hits registered in the content cache.,1,logicinsight_nutanix_core,cluster stats content cache num hits,,
logicinsight.pe.cluster_stats_content_cache_num_lookups,gauge,15,,,Total number of lookup attempts made by the content cache.,1,logicinsight_nutanix_core,cluster stats content cache num lookups,,
logicinsight.pe.cluster_stats_content_cache_physical_memory_usage_bytes,gauge,15,byte,,Physical memory consumed by the content cache measured in bytes.,1,logicinsight_nutanix_core,cluster stats content cache physical memory usage bytes,,
logicinsight.pe.cluster_stats_content_cache_physical_ssd_usage_bytes,gauge,15,byte,,Physical SSD space used by the content cache measured in bytes.,1,logicinsight_nutanix_core,cluster stats content cache physical ssd usage bytes,,
logicinsight.pe.cluster_stats_content_cache_saved_memory_usage_bytes,gauge,15,byte,,Amount of memory saved by the content cache through deduplication or compression.,1,logicinsight_nutanix_core,cluster stats content cache saved memory usage bytes,,
logicinsight.pe.cluster_stats_content_cache_saved_ssd_usage_bytes,gauge,15,byte,,SSD space saved in the content cache via deduplication or compression.,1,logicinsight_nutanix_core,cluster stats content cache saved ssd usage bytes,,
logicinsight.pe.cluster_stats_controller_avg_io_latency_usecs,gauge,15,microsecond,,Average I/O latency across all operations managed by the controller in microseconds.,-1,logicinsight_nutanix_core,cluster stats controller avg io latency usecs,,
logicinsight.pe.cluster_stats_controller_avg_read_io_latency_usecs,gauge,15,microsecond,,Average read I/O latency measured by the controller in microseconds.,-1,logicinsight_nutanix_core,cluster stats controller avg read io latency usecs,,
logicinsight.pe.cluster_stats_controller_avg_read_io_size_kbytes,gauge,15,kibibyte,,Average size of read I/O operations handled by the controller in kibibytes.,1,logicinsight_nutanix_core,cluster stats controller avg read io size kbytes,,
logicinsight.pe.cluster_stats_controller_avg_write_io_latency_usecs,gauge,15,microsecond,,Average write I/O latency measured by the controller in microseconds.,-1,logicinsight_nutanix_core,cluster stats controller avg write io latency usecs,,
logicinsight.pe.cluster_stats_controller_avg_write_io_size_kbytes,gauge,15,kibibyte,,Average size of write I/O operations handled by the controller in kibibytes.,1,logicinsight_nutanix_core,cluster stats controller avg write io size kbytes,,
logicinsight.pe.cluster_stats_controller_io_bandwidth_kBps,gauge,15,kibibyte,second,Total I/O bandwidth managed by the controller measured in kilobytes per second.,1,logicinsight_nutanix_core,cluster stats controller io bandwidth kBps,,
logicinsight.pe.cluster_stats_controller_num_io,gauge,15,operation,,Total number of I/O operations performed by the controller.,1,logicinsight_nutanix_core,cluster stats controller num io,,
logicinsight.pe.cluster_stats_controller_num_iops,gauge,15,operation,second,Number of I/O operations per second (IOPS) measured at the controller level.,1,logicinsight_nutanix_core,cluster stats controller num iops,,
logicinsight.pe.cluster_stats_controller_num_random_io,gauge,15,operation,,Total number of random I/O operations handled by the controller.,1,logicinsight_nutanix_core,cluster stats controller num random io,,
logicinsight.pe.cluster_stats_controller_num_read_io,gauge,15,operation,,Total number of read I/O operations executed by the controller.,1,logicinsight_nutanix_core,cluster stats controller num read io,,
